dataset_id,plan_section,gate,description,source_org,access_method,endpoint_or_url,auth,resolution,status,notes
spb_queue_reform_source,§6,NS-G6,Official PacMMS LA/LB container-vessel queuing process executive summary and press release,Marine Exchange of Southern California / PacMMS,official_pdf,https://mxsocal.org/assets/pdf/pacmms-web-combo-exec-and-release.pdf,none,event,ACQUIRED_HASHED,data/external/policy_documents/ manifest; effective 2021-11-16T00:00:00Z; separate from Container Excess Dwell Fee
national_state_zone_geometry,§5,NS-G1,Official anchorage berth channel land and dock source snapshot plus deterministic 15-complex zones,NOAA ENC Direct + USACE Navigation Facilities,official_feature_services,https://encdirect.noaa.gov/ and https://services7.arcgis.com/n1YM8pTrFmm7L4hs/ArcGIS/rest/services/Docks/FeatureServer/0/query,none,static,ACQUIRED_HASHED,config/national_state_zone_sources.geojson and national_state_zones.geojson; hashes in config/national_state_zone_provenance.json; reuse without re-download
gfw_sar_detections,§6,NS-G2,SAR presence 5 gateways monthly 2019-2023,Global Fishing Watch API v3,rest_api,https://gateway.api.globalfishingwatch.org/v3/4wings/report,GFW_API_TOKEN,monthly,ACQUIRED,data/external/gfw_sar/ (public-global-sar-presence; sparse/0 in some regions = valid)
bts_ops_queue_dwell,§6/5,NS-G2/1,Weekly ships-awaiting-berth + monthly container-vessel dwell times,BTS iiy2-kmkn + nfsh-p62e,socrata_api,https://data.bts.gov/resource/iiy2-kmkn.json,none,weekly_monthly,ACQUIRED,data/external/bts_ops/ (offshore queue + Pillar-B duration ref)
noaa_ais_census,§5/6,NS-G1/2,Terrestrial AIS pings 2015-2025 (15 complexes),NOAA Marine Cadastre,download,https://marinecadastre.gov/ais/,none,ping,ACQUIRED_LOCAL,data/interim/national_pings (5.8GB) — DO NOT RE-DOWNLOAD
ais_pilot_mode_lalb,§5,NS-G1,Mode-classified AIS pings LA/LB 2009-2022 + monthly dwell/mode-time,derived,local,-,none,monthly,ACQUIRED_LOCAL,data/processed/ais_dwell_census_mode* (3.1GB)
vessel_static_sample,§5/9,NS-G1/3,AIS static sample (status/length/width/draft/imo),derived,local,-,none,ping,ACQUIRED_LOCAL,data/interim/vessel_static_sample (197MB); vessel_characteristics.csv
epa_port_emissions_factors,§9,NS-G3,Emission factors (aux engine/boiler power + EF by pollutant/tier) + methodology,IMO 4th GHG 2020 + ICCT + CARB/Starcrest,local,https://www.epa.gov/state-and-local-transportation/port-emissions-inventory-guidance,none,static,ACQUIRED_LOCAL,config/emission_factors.py (IMO Table 17 verbatim) + config/emissions_method.md; EPA guidance = cross-check only
spb_2024_official_emissions_inventories,§9,NS-G3,Official 2024 OGV mode totals and joint methodology,Ports of Los Angeles and Long Beach,official_pdf,https://portoflosangeles.org/environment/air-quality/air-emissions-inventory,none,annual_mode,ACQUIRED_LOCAL,data/external/spb_emissions_inventories/; immutable hashes; numerical tolerances pass but formal gate blocked by population/quantity mismatch and Pillar B
emissions_calibrated_lalb,§9,NS-G3,CARB-calibrated congestion emissions LA/LB,derived,local,-,none,monthly,ACQUIRED_LOCAL,outputs/emissions_carb_calibrated_LALB_anchor.csv; src/emissions/
macro_cpi_controls,§13,NS-G9,CPI goods/services/US + GSCPI + IndPro + oil + PPI,BLS/NYFed/FRED,local,-,none,monthly,ACQUIRED_LOCAL,data/raw/*.csv + gscpi_raw.xlsx + data/external/macro_controls.csv
vessel_technical_registry,§9,NS-G3,Engine type/build year/tier/aux power by IMO,IHS/Clarksons(paid) or ICCT/free,gap,-,?,static,GAP,AIS static has IMO+dims only; engine tier needs a ship registry
carb_atberth,§7,NS-G6,At-Berth regulation and SPB tanker design documents,CARB,official_download,https://ww2.arb.ca.gov/our-work/programs/ocean-going-vessels-berth-regulation,none,regulation_terminal,ACQUIRED_HASHED,31 official regulation/FAQ/enforcement/schema/current SPB tanker-plan artifacts in data/external/carb_atberth/; embedded compliance outcomes not acquired; primary intervention candidate is 2025 SPB tankers
epa_aqs,§11,NS-G4,AQS daily (729k) + HOURLY (3.53M) NO2+PM2.5 gateway counties 2019-2023,EPA AQS API + bulk files,rest_api+download,https://aqs.epa.gov/aqsweb/airdata/,AQS_EMAIL+AQS_API_KEY,daily+hourly,ACQUIRED,data/external/aqs/ (daily API) + data/external/aqs_hourly/ (bulk files; src/acquire/aqs_bulk.py — bulk sidesteps the 22s/call API latency)
openaq,§11,NS-G4,OpenAQ daily NO2/PM25/SO2/O3 near 11 gateways 2019-2023,OpenAQ API v3,rest_api,https://api.openaq.org/v3/,OpenAQ,daily,ACQUIRING,data/external/openaq/ (429 backoff added; backstops throttled AQS)
noaa_met_wind,§11,NS-G4,NCEI ISD hourly wind near 11 gateways 2019-2023,NOAA NCEI global-hourly,download,https://www.ncei.noaa.gov/data/global-hourly/,none,hourly,ACQUIRED,data/external/noaa_wind/ (652966 obs 10 gateways; concurrent src/acquire/noaa_wind.py + _http.py)
calenviroscreen5,§12,NS-G5,CalEnviroScreen 5.0 (9106 CA tracts x 70 indicators) + shapefile,OEHHA via data.ca.gov,download,https://data.ca.gov/dataset/calenviroscreen-5-0,none,static,ACQUIRED,data/external/calenviroscreen/ (CSV+SHP+dict; updated 2026-07-01)
acs,§12,NS-G5,ACS 5-yr 2022 tract demographics 6366 port-county tracts,Census ACS 5-year API,rest_api,https://api.census.gov/data/2022/acs/acs5,CENSUS_API_KEY,annual,ACQUIRED,data/external/acs/acs5_2022_port_county_tracts.csv
lodes,§12,NS-G5,LEHD WAC (workplace) 10 port states 2022,Census LEHD LODES,download,https://lehd.ces.census.gov/data/lodes/LODES8/,none,annual,ACQUIRED,data/external/lodes/*_wac_S000_JT00_2022.csv.gz; RAC/OD=follow-up
census_intltrade_porths,§13,NS-G9,Monthly port x HS containerized imports,Census International Trade API,rest_api,https://api.census.gov/data/timeseries/intltrade/imports/porths,CENSUS_API_KEY,monthly,METADATA_ACQUIRED_OUTCOMES_CLOSED,data/external/product_port_metadata contains schemas only; older aggregate official_port_activity diagnostics remain isolated; no product-level outcome acquired after Phase-7 kill rule
marad_vessel_calls,§5,NS-G1,Annual vessel calls US ports (Excel; through ~2015),MARAD,download,https://www.maritime.dot.gov/data-reports/data-statistics,none,annual,AVAILABLE_STALE,older than BTS 5rpz 2020-23; historical cross-check only
inmap,§11,tool,Spatially-resolved air-quality intervention model,InMAP,software,https://inmap.run/,none,-,TOOL,not a dataset
benmap,§11,tool,Health impact + concentration-response functions,EPA BenMAP-CE,software_data,https://www.epa.gov/benmap,none,-,TOOL,CR + population data bundled
ab617_wcwlb_monitors,§11,NS-G4,AB617 Wilmington-Carson-W.Long Beach community air monitors (continuous+integrated+mobile),South Coast AQMD + CARB AQView,portal_api,https://aqview.arb.ca.gov/continuous-monitoring-data,none,hourly,HISTORICAL_METADATA_VERIFIED_OUTCOMES_UNOPENED,South Coast AQMD latest-chart path used by OSF j6utx exposed only July 2026 and that frozen acquisition remains closed; CARB AQview metadata independently verifies 35085 hourly NO2 records in 2020-2024 without opening concentration values
carb_aqview,§11,NS-G4,CARB AQView AB617 community monitoring data,CARB,portal_api,https://aqview.arb.ca.gov/continuous-monitoring-data,none,hourly,METADATA_ACQUIRED_OUTCOMES_UNOPENED,data/external/ab617_wcwlb_metadata/ contains hashed community inventory parameter date and record-count metadata; WCWLB NO2 and BC begin September 2019; a new independently frozen acquisition is required before concentration download
tempo_no2,Recovery §7,R-G3,NASA TEMPO hourly Level-3 tropospheric NO2 over California,NASA ASDC / Earthdata,arcgis_imageserver,https://gis.earthdata.nasa.gov/image/rest/services/C2930763263-LARC_CLOUD/TEMPO_NO2_L3_V03_HOURLY_TROPOSPHERIC_VERTICAL_COLUMN/ImageServer,none,hourly_0.02_degree,METADATA_ACQUIRED_OUTCOMES_UNOPENED,data/external/nature_recovery_metadata/ contains V03/V04 service definitions and NASA v2 user guide; no pixel requested; outcome extraction requires the new recovery registration
carb_ogv2025_output,Recovery §8,R-G4,Final CARB OGV2025 emissions inventory output workbook,California Air Resources Board,official_xlsx,https://ww2.arb.ca.gov/resources/documents/final-ogv2025-emissions-inventory-output,none,model_output_cells,METADATA_ACQUIRED_WORKBOOK_UNOPENED,data/external/nature_recovery_metadata/ contains the landing page and declared workbook URL only; the workbook is protected until the validation crosswalk is frozen
wilmington_pm25_composition,§11,NS-G4,New Wilmington PM2.5 composition project (started 2025-10-01),South Coast AQMD,portal,https://www.aqmd.gov/home/research,none,event,FUTURE,source-composition validation only; post-dates 2021 reform so cannot identify the policy effect
spb_labour_chronology,§8,NS-G7,Official chronology for the 2014-2015 West Coast labour disruption,GovInfo + ILWU/PMA + archived White House,official_download,https://www.govinfo.gov/app/details/CRPT-114srpt164,none,event,ACQUIRED_HASHED,data/external/policy_documents/labour_disruption_2014_2015/; three immutable official snapshots acquired before outcome opening
gfw_spb_labour_spatial,§8,NS-G7,Daily cell cargo-vessel presence by speed for the frozen 2012-2015 replication,Global Fishing Watch 4Wings API,rest_api,https://gateway.api.globalfishingwatch.org/v3/4wings/report,GFW_API_TOKEN,daily_cell,ACQUIRED_ANALYZED_GATE_FAIL,28 hash-valid artifacts under data/external/gfw/spb_labour_speed_bins/; OSF x96np original and mbu46 correction; corrected component fails approach specificity and fixed placebo
hs4_bls_item_bridge,§13,NS-G9,HS4 to BLS item concordance from direct competitor replication package,AEA Data and Code Repository at openICPSR,standard_terms_download,https://doi.org/10.3886/E247679V1,ICPSR_login,static,DISCOVERED_NOT_OPENED_PHASE7_CLOSED,Public file listing identifies hs4_item_concord_clean.dta; individual retrieval unnecessary because shock and novelty fatal gates failed; price shock and intermediate folders unopened
